eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
200.0,-200.0,-630.7200317382812,527,5300,1.0920722484588623,26500,7.201800826805993e-07
200.0,-200.0,0.0020720958709716797,527,5400,1.0980843305587769,27000,9404.64453125
200.0,-200.0,0.5031680166721344,528,5500,1.094703197479248,27500,1.0909279524184967e-07
200.0,-200.0,-0.002774834632873535,528,5600,1.0978819131851196,28000,9420.2509765625
200.0,-200.0,-70.49888610839844,528,5700,1.0940343141555786,28500,6.292853413469857e-06
200.0,-200.0,0.00016444921493530273,528,5800,1.097226619720459,29000,9422.552734375
200.0,-200.0,0.9522641412913799,528,5900,1.0973024368286133,29500,1.3469252735376358e-07
200.0,-200.0,0.002326071262359619,528,6000,1.0960543155670166,30000,9418.845703125
200.0,-200.0,-0.1940382719039917,528,6100,1.0982098579406738,30500,3.9441511034965515e-06
200.0,-200.0,0.0012734532356262207,528,6200,1.0961298942565918,31000,9417.8271484375
200.0,-200.0,-9.18802261352539,528,6300,1.0882681608200073,31500,3.131560561087099e-06
200.0,-200.0,0.001899123191833496,529,6400,1.0983059406280518,32000,9420.30078125
200.0,-200.0,0.9725302942097187,529,6500,1.0937892198562622,32500,8.172355236979456e-09
200.0,-200.0,-0.0008507966995239258,529,6600,1.0974931716918945,33000,9421.830078125
200.0,-200.0,0.9534765891730785,529,6700,1.0973434448242188,33500,1.1774245933793281e-07
200.0,-200.0,3.516674041748047e-06,529,6800,1.0984711647033691,34000,9423.5302734375
200.0,-200.0,-0.28004252910614014,530,6900,1.0985536575317383,34500,1.0597286603797329e-07
200.0,-200.0,-0.003382563591003418,530,7000,1.0946670770645142,35000,9425.0693359375
200.0,-200.0,0.9691189825534821,530,7100,1.0973668098449707,35500,8.195638834251895e-09
200.0,-200.0,0.0008946061134338379,530,7200,1.098149061203003,36000,9399.1220703125
200.0,-200.0,-107.70915985107422,530,7300,1.096229076385498,36500,9.307533218816388e-06
200.0,-200.0,-0.000988602638244629,531,7400,1.0970538854599,37000,9424.3310546875
200.0,-200.0,0.31450653076171875,531,7500,1.0948193073272705,37500,3.0476367101073265e-06
200.0,-200.0,-0.0005862712860107422,531,7600,1.0973525047302246,38000,9410.9765625
200.0,-200.0,-351.9896545410156,531,7700,1.0953190326690674,38500,3.392098051335779e-06
200.0,-200.0,0.0026040077209472656,531,7800,1.0984463691711426,39000,9416.3232421875
200.0,-200.0,-760.8434448242188,531,7900,1.0949493646621704,39500,3.056125569855794e-05
200.0,-200.0,0.0014361739158630371,532,8000,1.098168134689331,40000,9417.7392578125
200.0,-200.0,0.9320207312703133,532,8100,1.0979607105255127,40500,1.2433156726388006e-08
200.0,-200.0,-0.0006226301193237305,532,8200,1.0984889268875122,41000,9425.3857421875
200.0,-200.0,-2.295407295227051,532,8300,1.0985965728759766,41500,1.1139316029584734e-06
200.0,-200.0,0.00015348196029663086,532,8400,1.098444938659668,42000,9421.4677734375
200.0,-200.0,0.9751966260373592,532,8500,1.0928796529769897,42500,1.570442620391077e-08
200.0,-200.0,0.001010596752166748,532,8600,1.0984708070755005,43000,9422.8984375
200.0,-200.0,-19.263513565063477,532,8700,1.0887686014175415,43500,1.2001441973552573e-05
200.0,-200.0,0.0032901763916015625,533,8800,1.0976054668426514,44000,9409.701171875
200.0,-200.0,-19.44220733642578,533,8900,1.0979564189910889,44500,9.165715709968936e-06
200.0,-200.0,0.0005617141723632812,533,9000,1.0981979370117188,45000,9413.130859375
200.0,-200.0,0.620016872882843,533,9100,1.0967134237289429,45500,1.7862767265341972e-07
200.0,-200.0,0.0007650256156921387,533,9200,1.0986018180847168,46000,9422.8125
200.0,-200.0,-3.100800037384033,533,9300,1.0966928005218506,46500,1.2270175098194613e-08
200.0,-200.0,0.00031572580337524414,533,9400,1.0983750820159912,47000,9421.4921875
200.0,-200.0,-440.6000061035156,533,9500,1.097172737121582,47500,7.655471279122139e-08
200.0,-200.0,0.0008161664009094238,533,9600,1.0976579189300537,48000,9418.220703125
200.0,-200.0,-4.036250114440918,533,9700,1.090940237045288,48500,2.6012771741079632e-06
200.0,-200.0,-0.00038814544677734375,534,9800,1.0981812477111816,49000,9420.505859375
200.0,-200.0,-6.830044746398926,534,9900,1.0959341526031494,49500,6.4761611611174885e-06
200.0,-200.0,0.00025969743728637695,534,10000,1.098296880722046,50000,9418.2626953125
200.0,-200.0,-0.017876744270324707,534,10100,1.097487449645996,50500,1.0431045893710689e-06
200.0,-200.0,0.0002884864807128906,534,10200,1.0980072021484375,51000,9414.7705078125
200.0,-200.0,-3086.6923828125,534,10300,1.0888872146606445,51500,5.368608981370926e-06
200.0,-200.0,0.002978980541229248,534,10400,1.0975254774093628,52000,9400.431640625
200.0,-200.0,-7.993673324584961,534,10500,1.0965681076049805,52500,1.2906151596325799e-06
200.0,-200.0,0.0013093352317810059,533,10600,1.0981976985931396,53000,9419.1689453125
200.0,-200.0,-222.3603057861328,533,10700,1.0964008569717407,53500,1.647395583859179e-05
200.0,-200.0,0.0009671449661254883,531,10800,1.098535418510437,54000,9421.705078125
200.0,-200.0,0.6500000059604645,530,10900,1.0962374210357666,54500,1.0307412878773903e-07
200.0,-200.0,0.0015085935592651367,529,11000,1.0976247787475586,55000,9423.087890625
200.0,-200.0,-0.4279223680496216,527,11100,1.094872236251831,55500,5.51971595541545e-07
200.0,-200.0,0.001114189624786377,526,11200,1.0973705053329468,56000,9424.1884765625
200.0,-200.0,-29.278318405151367,525,11300,1.0921424627304077,56500,3.4531462915765587e-06
200.0,-200.0,0.0001608133316040039,523,11400,1.0979249477386475,57000,9417.5927734375
200.0,-200.0,0.5512657761573792,522,11500,1.098150610923767,57500,3.1446338653040584e-06
200.0,-200.0,0.0007135868072509766,521,11600,1.0962858200073242,58000,9426.2548828125
200.0,-200.0,0.6460875868797302,520,11700,1.089693307876587,58500,4.603643901646137e-07
200.0,-200.0,-0.0024306774139404297,519,11800,1.0981793403625488,59000,9418.6953125
200.0,-200.0,-0.7073734998703003,517,11900,1.095199704170227,59500,1.768325432749407e-06
200.0,-200.0,0.0009288787841796875,516,12000,1.0971307754516602,60000,9411.375
200.0,-200.0,-3.4987645149230957,515,12100,1.096191644668579,60500,5.151203367859125e-06
200.0,-200.0,-0.0005080699920654297,514,12200,1.0978305339813232,61000,9428.3408203125
200.0,-200.0,-3.034703254699707,513,12300,1.0947644710540771,61500,1.2577977486216696e-06
200.0,-200.0,0.000499725341796875,512,12400,1.097100019454956,62000,9425.6962890625
200.0,-200.0,-7.15457820892334,511,12500,1.0985779762268066,62500,4.355167220637668e-06
200.0,-200.0,-0.0007692575454711914,510,12600,1.0982919931411743,63000,9419.044921875
200.0,-200.0,-89.8800048828125,509,12700,1.0943986177444458,63500,6.579794131766903e-08
200.0,-200.0,-0.0009154081344604492,508,12800,1.0982158184051514,64000,9422.9541015625
200.0,-200.0,-25.598079681396484,507,12900,1.0951294898986816,64500,3.081222530454397e-06
200.0,-200.0,-0.0011134147644042969,506,13000,1.098549485206604,65000,9417.4716796875
200.0,-200.0,0.9851404782384634,505,13100,1.0969665050506592,65500,2.1187589460680556e-09
200.0,-200.0,0.000507056713104248,504,13200,1.0984785556793213,66000,9421.412109375
200.0,-200.0,0.8712284862995148,503,13300,1.0976781845092773,66500,2.4001230940484675e-06
200.0,-200.0,0.0013233423233032227,502,13400,1.0965471267700195,67000,9417.076171875
200.0,-200.0,-1.0034947395324707,501,13500,1.0833232402801514,67500,4.048272785439622e-06
200.0,-200.0,0.000956118106842041,500,13600,1.0984480381011963,68000,9421.48046875
200.0,-200.0,-0.3996540307998657,499,13700,1.0972914695739746,68500,5.356152541935444e-06
200.0,-200.0,1.2040138244628906e-05,498,13800,1.0962283611297607,69000,9417.2216796875
200.0,-200.0,-46.0254020690918,497,13900,1.0905073881149292,69500,1.1740334230125882e-05
200.0,-200.0,-0.003130674362182617,496,14000,1.0983731746673584,70000,9411.529296875
200.0,-200.0,nan,495,14100,1.0982706546783447,70500,1.4551915228366852e-09
200.0,-200.0,7.3909759521484375e-06,493,14200,1.0978596210479736,71000,9419.96875
200.0,-200.0,-12.200116157531738,492,14300,1.090397596359253,71500,5.59238242203719e-06
200.0,-200.0,-0.0005486011505126953,491,14400,1.0972893238067627,72000,9424.201171875
200.0,-200.0,-13.59449291229248,491,14500,1.0941627025604248,72500,1.5731551457065507e-06
200.0,-200.0,-0.0020644664764404297,490,14600,1.0977013111114502,73000,9425.298828125
200.0,-200.0,0.9976584501564503,489,14700,1.093775987625122,73500,1.842621770720143e-07
200.0,-200.0,-0.0002046823501586914,489,14800,1.097729206085205,74000,9421.720703125
200.0,-200.0,-16.119403839111328,488,14900,1.0953248739242554,74500,2.715422397159273e-06
200.0,-200.0,-0.0019289255142211914,487,15000,1.0984026193618774,75000,9417.16015625
200.0,-200.0,-30.060178756713867,487,15100,1.095252513885498,75500,5.313416295393836e-06
200.0,-200.0,0.0001175999641418457,486,15200,1.097793459892273,76000,9416.06640625
200.0,-200.0,0.7729919850826263,486,15300,1.0973117351531982,76500,3.5797711461782455e-08
200.0,-200.0,-0.0021284818649291992,485,15400,1.0958919525146484,77000,9432.0009765625
200.0,-200.0,0.5250018537044525,484,15500,1.0961108207702637,77500,1.8072081502396031e-06
200.0,-200.0,-0.0009436607360839844,484,15600,1.0973072052001953,78000,9422.4462890625
200.0,-200.0,0.30628877878189087,483,15700,1.0960735082626343,78500,1.108518290493521e-06
200.0,-200.0,-0.00035309791564941406,483,15800,1.0979844331741333,79000,9424.994140625
200.0,-200.0,-479.1714782714844,482,15900,1.0950634479522705,79500,2.880929912407737e-07
200.0,-200.0,-0.0016028881072998047,482,16000,1.0985063314437866,80000,9418.970703125
200.0,-200.0,-4.473010540008545,481,16100,1.0932224988937378,80500,2.5124241801677272e-05
200.0,-200.0,-0.00429081916809082,481,16200,1.0956767797470093,81000,9415.2412109375
200.0,-200.0,-0.3881021738052368,481,16300,1.0962069034576416,81500,1.8382328335064813e-06
200.0,-200.0,0.0015473365783691406,480,16400,1.0983505249023438,82000,9419.787109375
200.0,-200.0,-535.41552734375,480,16500,1.0958869457244873,82500,3.606154496083036e-05
200.0,-200.0,0.0010205507278442383,479,16600,1.0985333919525146,83000,9421.958984375
200.0,-200.0,-1.3209378719329834,479,16700,1.0979924201965332,83500,5.09330993736512e-06
200.0,-200.0,0.001329958438873291,478,16800,1.0979571342468262,84000,9419.9814453125
200.0,-200.0,-5.513156890869141,478,16900,1.0975844860076904,84500,5.049514584243298e-07
200.0,-200.0,0.00022858381271362305,477,17000,1.0985047817230225,85000,9416.6123046875
200.0,-200.0,-9.581172943115234,477,17100,1.096738338470459,85500,2.3657921133235504e-07
200.0,-200.0,0.0002396702766418457,476,17200,1.098334789276123,86000,9425.2529296875
200.0,-200.0,0.5404782891273499,476,17300,1.0978572368621826,86500,1.2647360563278198e-06
200.0,-200.0,0.003963887691497803,476,17400,1.0970616340637207,87000,9407.9794921875
200.0,-200.0,-15.947368621826172,475,17500,1.0977692604064941,87500,4.618195958983051e-08
200.0,-200.0,7.218122482299805e-05,475,17600,1.0970125198364258,88000,9421.419921875
200.0,-200.0,-205.072265625,474,17700,1.0953232049942017,88500,1.352186063741101e-05
200.0,-200.0,0.0004960298538208008,474,17800,1.0968315601348877,89000,9418.021484375
200.0,-200.0,-0.20877587795257568,474,17900,1.0962700843811035,89500,2.3271422122661534e-08
200.0,-200.0,-0.002402186393737793,473,18000,1.0982694625854492,90000,9411.8701171875
200.0,-200.0,0.9965077112428844,473,18100,1.0986051559448242,90500,3.788154501194185e-08
200.0,-200.0,0.0018579959869384766,472,18200,1.0985791683197021,91000,9412.580078125
200.0,-200.0,0.6848260462284088,472,18300,1.0953822135925293,91500,2.326909509520192e-07
200.0,-200.0,-0.00027179718017578125,472,18400,1.0981124639511108,92000,9420.689453125
200.0,-200.0,-19.0336856842041,471,18500,1.0965101718902588,92500,3.7794816307723522e-06
200.0,-200.0,0.00024771690368652344,471,18600,1.0981223583221436,93000,9418.2373046875
200.0,-200.0,-1764.6533203125,471,18700,1.0979695320129395,93500,1.3503828313332633e-06
200.0,-200.0,0.0028269290924072266,470,18800,1.0980048179626465,94000,9418.125
200.0,-200.0,0.15018773078918457,470,18900,1.0969345569610596,94500,4.707253538072109e-07
200.0,-200.0,-0.0010715723037719727,470,19000,1.0980873107910156,95000,9425.025390625
200.0,-200.0,-49.377288818359375,469,19100,1.0928938388824463,95500,7.95213236415293e-06
200.0,-200.0,-0.0013396739959716797,469,19200,1.0980770587921143,96000,9421.763671875
200.0,-200.0,0.6387491524219513,469,19300,1.095571517944336,96500,4.260929017618764e-06
200.0,-200.0,2.9146671295166016e-05,468,19400,1.0968966484069824,97000,9413.98828125
200.0,-200.0,0.013272762298583984,468,19500,1.0957057476043701,97500,1.8148566596210003e-06
200.0,-200.0,0.0012484192848205566,467,19600,1.0966308116912842,98000,9417.7578125
200.0,-200.0,-36.882484436035156,467,19700,1.095432162284851,98500,3.4248222391397576e-07
200.0,-200.0,-0.002619147300720215,467,19800,1.0974812507629395,99000,9405.466796875
200.0,-200.0,-5.4124932289123535,466,19900,1.0972850322723389,99500,4.155956958129536e-06
200.0,-200.0,0.00516200065612793,466,20000,1.0964361429214478,100000,9409.7275390625
200.0,-200.0,-5.879432201385498,466,20100,1.0983598232269287,100500,2.0062037947354838e-05
200.0,-200.0,-0.0024529695510864258,466,20200,1.0973711013793945,101000,9425.2314453125
200.0,-200.0,0.901739813387394,465,20300,1.097076416015625,101500,4.509929496521181e-08
